id;client_id;scoring_id
1;3392;1
2;8625;2
3;11708;1
4;47249;2
5;7387;2
6;38382;1
7;10314;1
8;21511;3
9;16727;1
10;47624;1
11;42603;2
12;49323;2
13;15941;2
14;27750;3
15;4084;2
16;13266;2
17;24688;2
18;4059;2
19;13651;2
20;16640;3
21;4911;2
22;41326;3
23;44166;1
24;23368;2
25;42489;3
26;19779;2
27;47455;3
28;16092;2
29;49150;2
30;46721;3
31;39537;1
32;24648;3
33;38325;2
34;16388;2
35;45313;2
36;39828;2
37;16512;2
38;28778;2
39;17068;3
40;22303;2
41;46591;2
42;27163;2
43;39873;2
44;3173;1
45;44763;1
46;36507;2
47;24733;2
48;30150;1
49;39740;2
50;8867;2
51;2836;3
52;47494;3
53;48667;3
54;40166;1
55;28667;2
56;17173;2
57;16219;2
58;40312;2
59;18395;3
60;36631;3
61;32011;2
62;29956;2
63;1908;1
64;40816;1
65;43894;2
66;23775;2
67;8580;2
68;41302;3
69;29938;2
70;12427;3
71;10279;2
72;41621;2
73;27694;2
74;14412;2
75;27835;1
76;13995;2
77;26185;2
78;26710;1
79;41598;2
80;28685;3
81;30944;2
82;26516;1
83;3628;2
84;14011;2
85;42879;2
86;7792;2
87;41781;2
88;29152;2
89;19184;2
90;14433;3
91;9229;2
92;9810;1
93;9626;2
94;10421;2
95;34371;3
96;4821;2
97;16132;1
98;25286;2
99;14733;2
100;24971;2
101;29264;1
102;25653;2
103;46765;3
104;30840;2
105;13749;2
106;31247;3
107;7177;2
108;11277;2
109;36979;2
110;10259;3
111;44179;3
112;35945;2
113;13914;2
114;30086;3
115;40039;2
116;31919;2
117;41719;2
118;24087;2
119;4744;3
120;22139;1
121;9061;3
122;35332;3
123;24597;2
124;8678;1
125;43430;2
126;12679;3
127;16319;2
128;38204;1
129;19114;2
130;10567;1
131;12512;2
132;50103;3
133;7835;3
134;15240;2
135;44625;2
136;47087;2
137;45704;2
138;31266;2
139;38037;2
140;25841;2
141;26441;3
142;49609;1
143;8970;1
144;35112;2
145;26671;2
146;18481;1
147;12965;2
148;28943;3
149;42315;2
150;22090;3
151;45056;2
152;9604;2
153;23103;2
154;49985;1
155;6806;1
156;47009;2
157;12757;2
158;17911;2
159;26135;3
160;23424;2
161;42312;3
162;47594;2
163;21696;2
164;9611;3
165;19380;2
166;36469;3
167;3989;3
168;16424;1
169;36280;2
170;7779;3
171;18760;2
172;50043;3
173;4044;2
174;25806;2
175;38260;3
176;48264;2
177;26139;2
178;3153;2
179;38198;2
180;50592;2
181;45698;1
182;47544;1
183;16001;1
184;14082;2
185;35343;3
186;8638;2
187;35871;3
188;26593;1
189;7174;2
190;22369;2
191;39498;3
192;4107;3
193;25381;2
194;20028;3
195;45591;3
196;45940;3
197;7502;2
198;35403;2
199;37887;3
200;15917;3
201;18748;1
202;34976;2
203;21567;3
204;40830;2
205;9126;2
206;43124;1
207;20133;1
208;33288;1
209;45919;2
210;34454;3
211;18906;2
212;23956;1
213;16117;2
214;48547;2
215;10749;3
216;48115;1
217;11313;1
218;46270;2
219;41475;3
220;42947;3
221;30439;3
222;18132;2
223;14702;2
224;29941;3
225;47589;3
226;44222;2
227;39249;1
228;48313;1
229;44693;3
230;8094;2
231;8770;3
232;16005;2
233;2631;2
234;43584;2
235;5202;2
236;30415;3
237;28735;2
238;1394;2
239;4174;2
240;28472;3
241;31548;3
242;28829;3
243;50228;2
244;35346;2
245;20148;2
246;43776;3
247;35994;1
248;11358;3
249;28885;2
250;45138;2
251;31796;2
252;16982;1
253;20228;1
254;16823;2
255;37013;3
256;41055;3
257;12445;3
258;42274;2
259;35438;2
260;30673;2
261;3558;1
262;42610;2
263;36015;2
264;18005;2
265;9642;2
266;48392;2
267;27460;2
268;29975;3
269;21032;2
270;11886;3
271;10251;2
272;20916;3
273;41430;3
274;35602;2
275;42073;3
276;3875;1
277;31996;2
278;29327;2
279;3333;1
280;15607;3
281;42778;3
282;13006;3
283;39756;2
284;17200;2
285;3929;1
286;39512;1
287;16542;1
288;21293;1
289;44471;3
290;43466;3
291;27049;2
292;32251;3
293;1145;2
294;15197;2
295;37223;1
296;19035;2
297;4061;2
298;18563;1
299;25479;2
300;3459;2
301;15587;1
302;42758;2
303;39299;2
304;10359;3
305;7665;2
306;16931;3
307;16199;3
308;2155;3
309;39161;2
310;18155;2
311;6243;2
312;18463;3
313;1947;2
314;48921;2
315;42241;3
316;9730;3
317;2414;1
318;34378;2
319;22225;1
320;44558;2
321;15167;3
322;39876;3
323;25252;2
324;19575;2
325;25328;2
326;13354;2
327;30103;3
328;47982;2
329;31829;3
330;43061;1
331;18047;3
332;30096;2
333;20826;2
334;4426;2
335;18909;2
336;25414;1
337;18460;2
338;41450;2
339;28850;1
340;50021;2
341;36602;1
342;38787;2
343;27159;3
344;35843;2
345;44534;3
346;41318;3
347;32039;1
348;22168;2
349;1310;2
350;43835;2
351;3907;3
352;13403;2
353;19508;2
354;15697;2
355;40959;2
356;42014;3
357;31101;2
358;2500;3
359;40205;2
360;24621;2
361;25565;3
362;16167;2
363;26623;3
364;49735;2
365;50979;2
366;41491;3
367;24677;2
368;32609;2
369;46435;2
370;18354;3
371;37688;2
372;24834;2
373;22420;2
374;42336;1
375;32739;3
376;19518;1
377;16868;1
378;9348;2
379;46432;2
380;20107;2
381;35734;2
382;39776;2
383;44835;3
384;48546;1
385;33484;2
386;30738;1
387;49725;1
388;37819;3
389;18150;3
390;23755;3
391;15526;2
392;49281;2
393;25413;3
394;50875;2
395;1667;2
396;8416;2
397;15093;2
398;43491;3
399;16296;2
400;31006;2
401;39251;3
402;44827;3
403;33107;1
404;1307;2
405;11150;2
406;9804;2
407;11825;3
408;20243;2
409;40684;2
410;24511;3
411;19486;2
412;43715;1
413;8257;2
414;50646;3
415;31509;2
416;32945;2
417;42724;3
418;37930;1
419;3732;1
420;23934;3
421;13428;3
422;44445;2
423;38774;2
424;26162;1
425;1748;2
426;11703;2
427;19423;2
428;15266;2
429;19750;2
430;9342;2
431;15681;1
432;17291;2
433;43433;2
434;26824;2
435;30617;2
436;30856;2
437;7486;1
438;43066;3
439;17350;2
440;21322;1
441;36175;3
442;42077;2
443;32562;2
444;12346;3
445;35420;3
446;14037;2
447;20821;3
448;7787;2
449;25876;3
450;37615;2
451;50134;2
452;13296;2
453;13029;2
454;43239;2
455;37078;2
456;26102;3
457;48127;1
458;5197;3
459;19060;2
460;42713;2
461;16223;2
462;10674;2
463;22736;1
464;30348;3
465;12977;3
466;6131;2
467;34865;2
468;33700;3
469;23985;1
470;1423;2
471;17276;3
472;10463;3
473;24123;3
474;11797;2
475;21223;2
476;50377;2
477;44089;3
478;17548;2
479;10009;1
480;30420;2
481;44665;2
482;26974;1
483;6977;3
484;30129;2
485;4561;2
486;10123;2
487;3795;3
488;8086;1
489;16033;2
490;22052;2
491;22297;2
492;4971;2
493;4652;1
494;16844;2
495;14023;2
496;5180;1
497;1253;3
498;26805;2
499;49237;2
500;12393;1
501;33924;2
502;16440;1
503;40387;3
504;50766;3
505;9297;3
506;34494;3
507;11700;3
508;26882;3
509;27135;2
510;44738;3
511;2403;2
512;24735;2
513;16950;1
514;5760;3
515;12849;2
516;47226;2
517;45681;3
518;2308;2
519;35188;2
520;40488;3
521;37067;3
522;18030;2
523;26218;1
524;6746;2
525;2571;2
526;38788;2
527;25214;2
528;4901;3
529;26418;1
530;23782;2
531;12260;2
532;14655;3
533;17236;3
534;44859;2
535;44917;3
536;16614;2
537;1474;2
538;12140;1
539;27458;2
540;21949;2
541;46735;3
542;10235;2
543;29253;1
544;9005;2
545;21474;3
546;37877;2
547;17807;1
548;50206;3
549;42878;2
550;48981;3
551;27570;1
552;32611;1
553;15286;2
554;49023;2
555;50650;2
556;3216;3
557;29087;1
558;30520;1
559;33530;2
560;19600;2
561;5083;2
562;12313;1
563;1061;2
564;19007;1
565;40566;2
566;38676;3
567;27275;2
568;5945;3
569;47373;1
570;11258;2
571;1740;2
572;44161;2
573;31248;1
574;50904;2
575;24146;2
576;34447;1
577;9138;2
578;48536;2
579;3385;2
580;26748;1
581;44895;1
582;6057;2
583;46020;3
584;39805;3
585;44113;3
586;16606;1
587;38171;3
588;44208;2
589;18219;2
590;31973;1
591;42349;2
592;46214;2
593;10787;1
594;3520;2
595;38253;1
596;13236;3
597;18669;2
598;36435;3
599;44356;2
600;43444;2
601;10014;3
602;33012;3
603;21481;2
604;1030;1
605;11441;2
606;24374;2
607;38035;1
608;47648;3
609;50645;3
610;2148;2
611;34010;1
612;33954;3
613;32395;3
614;4421;3
615;28910;1
616;30058;3
617;31955;2
618;26918;2
619;22504;3
620;12641;2
621;27528;2
622;38465;2
623;18602;3
624;35805;2
625;27114;2
626;25994;2
627;46982;3
628;28944;1
629;45143;3
630;32265;3
631;40507;2
632;50113;3
633;50729;1
634;11926;2
635;26125;2
636;43655;2
637;36139;3
638;3807;3
639;7087;2
640;6707;3
641;1039;2
642;25227;3
643;38730;3
644;41198;3
645;23298;1
646;28743;2
647;4083;1
648;38595;1
649;10924;2
650;29606;2
651;4201;2
652;30783;3
653;25015;3
654;26048;1
655;15630;1
656;15927;2
657;36496;2
658;17043;3
659;49931;1
660;38812;3
661;40528;2
662;22592;2
663;40606;2
664;18368;2
665;11031;1
666;40085;2
667;31602;3
668;9619;2
669;46688;2
670;41897;2
671;44230;2
672;36903;2
673;23592;2
674;10755;3
675;47785;2
676;31777;3
677;30911;3
678;2052;3
679;42053;3
680;3409;2
681;4927;2
682;26414;1
683;21661;2
684;30636;3
685;37589;2
686;38346;1
687;2048;2
688;35342;2
689;41460;2
690;47860;2
691;23938;2
692;13549;1
693;34429;1
694;39045;2
695;36528;2
696;38820;3
697;46990;2
698;11773;1
699;50720;2
700;29532;2
701;23596;3
702;8096;2
703;30022;2
704;14532;2
705;46716;2
706;28134;1
707;42694;3
708;47645;2
709;31610;3
710;22296;2
711;37457;3
712;27221;2
713;1345;1
714;38895;2
715;23479;1
716;39925;2
717;3551;1
718;45314;3
719;50242;1
720;40948;2
721;12411;2
722;25761;1
723;7703;2
724;8883;2
725;1518;2
726;4187;1
727;13313;2
728;47560;3
729;2519;3
730;19244;2
731;19709;2
732;48517;2
733;6297;2
734;21523;3
735;3617;3
736;44874;1
737;47754;1
738;20764;3
739;41122;1
740;44478;3
741;22419;3
742;17648;3
743;12680;1
744;10806;3
745;40809;1
746;27373;2
747;31165;2
748;1687;2
749;42318;2
750;46398;2
751;10257;1
752;40450;2
753;2811;2
754;21248;3
755;35509;3
756;45146;1
757;31159;2
758;50580;2
759;4334;2
760;10136;2
761;10311;2
762;47562;2
763;49199;1
764;11090;2
765;50819;2
766;17912;2
767;43122;2
768;43037;2
769;35262;3
770;14383;3
771;13365;3
772;15431;2
773;4068;2
774;16104;2
